H-1+ + Xe --> H
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
2.000000e+02,7.000000e-16,0.000000e+00,0.000000e+00
4.000000e+02,7.500000e-16,0.000000e+00,0.000000e+00
6.000000e+02,7.900000e-16,0.000000e+00,0.000000e+00
8.000000e+02,8.600000e-16,0.000000e+00,0.000000e+00
1.000000e+03,9.300000e-16,0.000000e+00,0.000000e+00
2.000000e+03,1.050000e-15,0.000000e+00,0.000000e+00
3.000000e+03,1.250000e-15,0.000000e+00,0.000000e+00
4.000000e+03,2.250000e-15,0.000000e+00,0.000000e+00
5.000000e+03,2.850000e-15,0.000000e+00,0.000000e+00
7.000000e+03,3.370000e-15,0.000000e+00,0.000000e+00
9.000000e+03,3.540000e-15,0.000000e+00,0.000000e+00
1.100000e+04,3.640000e-15,0.000000e+00,0.000000e+00
1.300000e+04,3.740000e-15,0.000000e+00,0.000000e+00
1.500000e+04,3.760000e-15,0.000000e+00,0.000000e+00
2.000000e+04,3.900000e-15,0.000000e+00,0.000000e+00
2.500000e+04,4.000000e-15,0.000000e+00,0.000000e+00
3.000000e+04,4.100000e-15,0.000000e+00,0.000000e+00
3.500000e+04,4.140000e-15,0.000000e+00,0.000000e+00
4.000000e+04,4.220000e-15,0.000000e+00,0.000000e+00
