H3+ + H2 --> H3+
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
8.410000e+00,6.454000e-16,0.000000e+00,0.000000e+00
8.660000e+00,6.249000e-16,0.000000e+00,0.000000e+00
1.000000e+01,5.185000e-16,0.000000e+00,0.000000e+00
1.155000e+01,4.068000e-16,0.000000e+00,0.000000e+00
1.334000e+01,2.981000e-16,0.000000e+00,0.000000e+00
1.540000e+01,2.033000e-16,0.000000e+00,0.000000e+00
1.778000e+01,1.296000e-16,0.000000e+00,0.000000e+00
2.054000e+01,7.830000e-17,0.000000e+00,0.000000e+00
2.371000e+01,4.546000e-17,0.000000e+00,0.000000e+00
2.738000e+01,2.570000e-17,0.000000e+00,0.000000e+00
3.162000e+01,1.428000e-17,0.000000e+00,0.000000e+00
3.652000e+01,7.857000e-18,0.000000e+00,0.000000e+00
4.217000e+01,4.294000e-18,0.000000e+00,0.000000e+00
4.870000e+01,2.339000e-18,0.000000e+00,0.000000e+00
5.130000e+01,1.876000e-18,0.000000e+00,0.000000e+00
