H3+ + H2 --> H2+(total,projectile)
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
3.300000e+02,1.335000e-17,0.000000e+00,0.000000e+00
3.464000e+02,1.385000e-17,0.000000e+00,0.000000e+00
4.001000e+02,1.540000e-17,0.000000e+00,0.000000e+00
4.620000e+02,1.701000e-17,0.000000e+00,0.000000e+00
5.335000e+02,1.868000e-17,0.000000e+00,0.000000e+00
6.161000e+02,2.040000e-17,0.000000e+00,0.000000e+00
7.114000e+02,2.218000e-17,0.000000e+00,0.000000e+00
8.215000e+02,2.403000e-17,0.000000e+00,0.000000e+00
9.487000e+02,2.598000e-17,0.000000e+00,0.000000e+00
1.096000e+03,2.807000e-17,0.000000e+00,0.000000e+00
1.265000e+03,3.034000e-17,0.000000e+00,0.000000e+00
1.461000e+03,3.285000e-17,0.000000e+00,0.000000e+00
1.687000e+03,3.565000e-17,0.000000e+00,0.000000e+00
1.948000e+03,3.881000e-17,0.000000e+00,0.000000e+00
2.250000e+03,4.239000e-17,0.000000e+00,0.000000e+00
2.598000e+03,4.644000e-17,0.000000e+00,0.000000e+00
3.000000e+03,5.101000e-17,0.000000e+00,0.000000e+00
3.464000e+03,5.613000e-17,0.000000e+00,0.000000e+00
4.001000e+03,6.180000e-17,0.000000e+00,0.000000e+00
4.620000e+03,6.799000e-17,0.000000e+00,0.000000e+00
5.335000e+03,7.466000e-17,0.000000e+00,0.000000e+00
6.161000e+03,8.170000e-17,0.000000e+00,0.000000e+00
7.114000e+03,8.896000e-17,0.000000e+00,0.000000e+00
8.215000e+03,9.626000e-17,0.000000e+00,0.000000e+00
9.487000e+03,1.034000e-16,0.000000e+00,0.000000e+00
1.096000e+04,1.101000e-16,0.000000e+00,0.000000e+00
1.265000e+04,1.162000e-16,0.000000e+00,0.000000e+00
1.461000e+04,1.214000e-16,0.000000e+00,0.000000e+00
1.687000e+04,1.256000e-16,0.000000e+00,0.000000e+00
1.948000e+04,1.286000e-16,0.000000e+00,0.000000e+00
2.250000e+04,1.305000e-16,0.000000e+00,0.000000e+00
2.598000e+04,1.312000e-16,0.000000e+00,0.000000e+00
3.000000e+04,1.309000e-16,0.000000e+00,0.000000e+00
3.464000e+04,1.295000e-16,0.000000e+00,0.000000e+00
4.001000e+04,1.273000e-16,0.000000e+00,0.000000e+00
4.620000e+04,1.244000e-16,0.000000e+00,0.000000e+00
5.335000e+04,1.209000e-16,0.000000e+00,0.000000e+00
6.161000e+04,1.170000e-16,0.000000e+00,0.000000e+00
7.114000e+04,1.127000e-16,0.000000e+00,0.000000e+00
8.215000e+04,1.082000e-16,0.000000e+00,0.000000e+00
9.487000e+04,1.036000e-16,0.000000e+00,0.000000e+00
1.096000e+05,9.887000e-17,0.000000e+00,0.000000e+00
1.265000e+05,9.412000e-17,0.000000e+00,0.000000e+00
1.461000e+05,8.938000e-17,0.000000e+00,0.000000e+00
1.687000e+05,8.468000e-17,0.000000e+00,0.000000e+00
1.948000e+05,8.004000e-17,0.000000e+00,0.000000e+00
2.250000e+05,7.547000e-17,0.000000e+00,0.000000e+00
2.598000e+05,7.097000e-17,0.000000e+00,0.000000e+00
3.000000e+05,6.656000e-17,0.000000e+00,0.000000e+00
3.464000e+05,6.223000e-17,0.000000e+00,0.000000e+00
4.001000e+05,5.799000e-17,0.000000e+00,0.000000e+00
4.620000e+05,5.383000e-17,0.000000e+00,0.000000e+00
5.335000e+05,4.975000e-17,0.000000e+00,0.000000e+00
6.161000e+05,4.577000e-17,0.000000e+00,0.000000e+00
7.114000e+05,4.189000e-17,0.000000e+00,0.000000e+00
8.215000e+05,3.813000e-17,0.000000e+00,0.000000e+00
9.487000e+05,3.448000e-17,0.000000e+00,0.000000e+00
1.096000e+06,3.098000e-17,0.000000e+00,0.000000e+00
1.265000e+06,2.764000e-17,0.000000e+00,0.000000e+00
1.461000e+06,2.448000e-17,0.000000e+00,0.000000e+00
1.687000e+06,2.152000e-17,0.000000e+00,0.000000e+00
1.800000e+06,2.025000e-17,0.000000e+00,0.000000e+00
