HD+ (v=1) + He --> HeH++D
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
5.700000e-01,2.557000e-17,0.000000e+00,0.000000e+00
6.161000e-01,2.407000e-17,0.000000e+00,0.000000e+00
7.114000e-01,2.153000e-17,0.000000e+00,0.000000e+00
8.215000e-01,1.925000e-17,0.000000e+00,0.000000e+00
9.487000e-01,1.722000e-17,0.000000e+00,0.000000e+00
1.096000e+00,1.540000e-17,0.000000e+00,0.000000e+00
1.265000e+00,1.377000e-17,0.000000e+00,0.000000e+00
1.461000e+00,1.231000e-17,0.000000e+00,0.000000e+00
1.687000e+00,1.101000e-17,0.000000e+00,0.000000e+00
1.948000e+00,9.847000e-18,0.000000e+00,0.000000e+00
2.250000e+00,8.806000e-18,0.000000e+00,0.000000e+00
2.598000e+00,7.875000e-18,0.000000e+00,0.000000e+00
3.000000e+00,7.043000e-18,0.000000e+00,0.000000e+00
3.464000e+00,6.298000e-18,0.000000e+00,0.000000e+00
4.001000e+00,5.632000e-18,0.000000e+00,0.000000e+00
4.500000e+00,5.141000e-18,0.000000e+00,0.000000e+00
