He2+ + CO2 (1s) --> He+(n=1)+CO2+
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
2.668000e+03,4.070000e-16,1.300000e-17,1.300000e-17
3.332000e+03,4.920000e-16,2.600000e-17,2.600000e-17
4.000000e+03,5.670000e-16,2.300000e-17,2.300000e-17
5.320000e+03,6.920000e-16,3.000000e-17,3.000000e-17
6.680000e+03,8.720000e-16,4.000000e-17,4.000000e-17
8.000000e+03,9.500000e-16,3.500000e-17,3.500000e-17
1.068000e+04,1.100000e-15,5.700000e-17,5.700000e-17
1.332000e+04,1.120000e-15,4.400000e-17,4.400000e-17
1.600000e+04,1.156000e-15,5.600000e-17,5.600000e-17
1.868000e+04,1.210000e-15,4.600000e-17,4.600000e-17
2.132000e+04,1.222000e-15,7.900000e-17,7.900000e-17
2.400000e+04,1.224000e-15,3.600000e-17,3.600000e-17
2.668000e+04,1.202000e-15,3.500000e-17,3.500000e-17
