He+ + H2 --> He(447.1nm)
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
4.000000e+01,1.004000e-21,0.000000e+00,0.000000e+00
4.107000e+01,1.194000e-21,0.000000e+00,0.000000e+00
4.743000e+01,2.319000e-21,0.000000e+00,0.000000e+00
5.477000e+01,3.302000e-21,0.000000e+00,0.000000e+00
6.325000e+01,4.146000e-21,0.000000e+00,0.000000e+00
7.303000e+01,4.918000e-21,0.000000e+00,0.000000e+00
8.434000e+01,5.609000e-21,0.000000e+00,0.000000e+00
9.739000e+01,6.202000e-21,0.000000e+00,0.000000e+00
1.125000e+02,6.801000e-21,0.000000e+00,0.000000e+00
1.299000e+02,8.111000e-21,0.000000e+00,0.000000e+00
1.500000e+02,1.329000e-20,0.000000e+00,0.000000e+00
1.732000e+02,3.025000e-20,0.000000e+00,0.000000e+00
2.000000e+02,5.948000e-20,0.000000e+00,0.000000e+00
2.310000e+02,8.739000e-20,0.000000e+00,0.000000e+00
2.667000e+02,1.107000e-19,0.000000e+00,0.000000e+00
3.080000e+02,1.318000e-19,0.000000e+00,0.000000e+00
3.557000e+02,1.508000e-19,0.000000e+00,0.000000e+00
4.107000e+02,1.666000e-19,0.000000e+00,0.000000e+00
4.743000e+02,1.783000e-19,0.000000e+00,0.000000e+00
5.477000e+02,1.852000e-19,0.000000e+00,0.000000e+00
6.325000e+02,1.876000e-19,0.000000e+00,0.000000e+00
7.303000e+02,1.862000e-19,0.000000e+00,0.000000e+00
8.434000e+02,1.818000e-19,0.000000e+00,0.000000e+00
9.739000e+02,1.755000e-19,0.000000e+00,0.000000e+00
1.125000e+03,1.678000e-19,0.000000e+00,0.000000e+00
1.299000e+03,1.595000e-19,0.000000e+00,0.000000e+00
1.500000e+03,1.510000e-19,0.000000e+00,0.000000e+00
1.732000e+03,1.424000e-19,0.000000e+00,0.000000e+00
2.000000e+03,1.340000e-19,0.000000e+00,0.000000e+00
2.310000e+03,1.259000e-19,0.000000e+00,0.000000e+00
2.667000e+03,1.182000e-19,0.000000e+00,0.000000e+00
3.080000e+03,1.109000e-19,0.000000e+00,0.000000e+00
3.557000e+03,1.039000e-19,0.000000e+00,0.000000e+00
4.107000e+03,9.742000e-20,0.000000e+00,0.000000e+00
4.743000e+03,9.132000e-20,0.000000e+00,0.000000e+00
5.477000e+03,8.577000e-20,0.000000e+00,0.000000e+00
6.325000e+03,8.144000e-20,0.000000e+00,0.000000e+00
7.303000e+03,8.096000e-20,0.000000e+00,0.000000e+00
8.434000e+03,8.839000e-20,0.000000e+00,0.000000e+00
9.739000e+03,1.000000e-19,0.000000e+00,0.000000e+00
1.125000e+04,1.097000e-19,0.000000e+00,0.000000e+00
1.299000e+04,1.177000e-19,0.000000e+00,0.000000e+00
1.500000e+04,1.250000e-19,0.000000e+00,0.000000e+00
1.732000e+04,1.313000e-19,0.000000e+00,0.000000e+00
2.000000e+04,1.358000e-19,0.000000e+00,0.000000e+00
