He2+ + H2 --> He+(Ly-¦Á)
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
2.600000e+03,4.799000e-17,0.000000e+00,0.000000e+00
2.667000e+03,4.935000e-17,0.000000e+00,0.000000e+00
3.080000e+03,5.817000e-17,0.000000e+00,0.000000e+00
3.557000e+03,6.953000e-17,0.000000e+00,0.000000e+00
4.107000e+03,8.423000e-17,0.000000e+00,0.000000e+00
4.743000e+03,1.031000e-16,0.000000e+00,0.000000e+00
5.477000e+03,1.273000e-16,0.000000e+00,0.000000e+00
6.325000e+03,1.580000e-16,0.000000e+00,0.000000e+00
7.303000e+03,1.965000e-16,0.000000e+00,0.000000e+00
8.434000e+03,2.447000e-16,0.000000e+00,0.000000e+00
9.739000e+03,3.042000e-16,0.000000e+00,0.000000e+00
1.125000e+04,3.768000e-16,0.000000e+00,0.000000e+00
1.299000e+04,4.635000e-16,0.000000e+00,0.000000e+00
1.500000e+04,5.637000e-16,0.000000e+00,0.000000e+00
1.732000e+04,6.743000e-16,0.000000e+00,0.000000e+00
2.000000e+04,7.872000e-16,0.000000e+00,0.000000e+00
