He + H2 --> H(H-¦¡)
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
3.000000e+02,6.888000e-19,0.000000e+00,0.000000e+00
3.080000e+02,6.970000e-19,0.000000e+00,0.000000e+00
3.557000e+02,7.441000e-19,0.000000e+00,0.000000e+00
4.107000e+02,7.941000e-19,0.000000e+00,0.000000e+00
4.743000e+02,8.470000e-19,0.000000e+00,0.000000e+00
5.477000e+02,9.029000e-19,0.000000e+00,0.000000e+00
6.325000e+02,9.619000e-19,0.000000e+00,0.000000e+00
7.303000e+02,1.024000e-18,0.000000e+00,0.000000e+00
8.434000e+02,1.089000e-18,0.000000e+00,0.000000e+00
9.739000e+02,1.156000e-18,0.000000e+00,0.000000e+00
1.125000e+03,1.226000e-18,0.000000e+00,0.000000e+00
1.299000e+03,1.298000e-18,0.000000e+00,0.000000e+00
1.500000e+03,1.372000e-18,0.000000e+00,0.000000e+00
1.732000e+03,1.446000e-18,0.000000e+00,0.000000e+00
2.000000e+03,1.520000e-18,0.000000e+00,0.000000e+00
2.310000e+03,1.592000e-18,0.000000e+00,0.000000e+00
2.667000e+03,1.660000e-18,0.000000e+00,0.000000e+00
3.080000e+03,1.724000e-18,0.000000e+00,0.000000e+00
3.557000e+03,1.782000e-18,0.000000e+00,0.000000e+00
4.107000e+03,1.830000e-18,0.000000e+00,0.000000e+00
4.743000e+03,1.867000e-18,0.000000e+00,0.000000e+00
5.477000e+03,1.890000e-18,0.000000e+00,0.000000e+00
6.325000e+03,1.899000e-18,0.000000e+00,0.000000e+00
7.303000e+03,1.891000e-18,0.000000e+00,0.000000e+00
8.434000e+03,1.867000e-18,0.000000e+00,0.000000e+00
9.739000e+03,1.825000e-18,0.000000e+00,0.000000e+00
1.125000e+04,1.768000e-18,0.000000e+00,0.000000e+00
1.299000e+04,1.695000e-18,0.000000e+00,0.000000e+00
1.500000e+04,1.611000e-18,0.000000e+00,0.000000e+00
1.520000e+04,1.603000e-18,0.000000e+00,0.000000e+00
