He+ + H2 --> H(Ly-¦¢)
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
2.400000e+01,1.062000e-18,0.000000e+00,0.000000e+00
2.667000e+01,1.531000e-18,0.000000e+00,0.000000e+00
3.080000e+01,2.282000e-18,0.000000e+00,0.000000e+00
3.557000e+01,3.078000e-18,0.000000e+00,0.000000e+00
4.107000e+01,3.859000e-18,0.000000e+00,0.000000e+00
4.743000e+01,4.608000e-18,0.000000e+00,0.000000e+00
5.477000e+01,5.327000e-18,0.000000e+00,0.000000e+00
6.325000e+01,6.017000e-18,0.000000e+00,0.000000e+00
7.303000e+01,6.667000e-18,0.000000e+00,0.000000e+00
8.434000e+01,7.258000e-18,0.000000e+00,0.000000e+00
9.739000e+01,7.766000e-18,0.000000e+00,0.000000e+00
1.125000e+02,8.168000e-18,0.000000e+00,0.000000e+00
1.299000e+02,8.444000e-18,0.000000e+00,0.000000e+00
1.500000e+02,8.585000e-18,0.000000e+00,0.000000e+00
1.732000e+02,8.592000e-18,0.000000e+00,0.000000e+00
2.000000e+02,8.474000e-18,0.000000e+00,0.000000e+00
2.310000e+02,8.249000e-18,0.000000e+00,0.000000e+00
2.667000e+02,7.940000e-18,0.000000e+00,0.000000e+00
3.080000e+02,7.569000e-18,0.000000e+00,0.000000e+00
3.557000e+02,7.157000e-18,0.000000e+00,0.000000e+00
4.000000e+02,6.802000e-18,0.000000e+00,0.000000e+00
