He+ + H2 --> He++H(3p)+H(¦²)
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
5.000000e+03,2.354000e-18,0.000000e+00,0.000000e+00
5.477000e+03,2.333000e-18,0.000000e+00,0.000000e+00
6.325000e+03,2.290000e-18,0.000000e+00,0.000000e+00
7.303000e+03,2.325000e-18,0.000000e+00,0.000000e+00
8.434000e+03,2.469000e-18,0.000000e+00,0.000000e+00
9.739000e+03,2.664000e-18,0.000000e+00,0.000000e+00
1.125000e+04,2.778000e-18,0.000000e+00,0.000000e+00
1.299000e+04,2.676000e-18,0.000000e+00,0.000000e+00
1.500000e+04,2.345000e-18,0.000000e+00,0.000000e+00
1.520000e+04,2.306000e-18,0.000000e+00,0.000000e+00
