He + H2 --> He2+ (CS)
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
7.500000e+04,2.660000e-18,0.000000e+00,0.000000e+00
1.000000e+05,2.610000e-18,0.000000e+00,0.000000e+00
1.250000e+05,2.760000e-18,0.000000e+00,0.000000e+00
1.500000e+05,3.140000e-18,0.000000e+00,0.000000e+00
1.750000e+05,2.890000e-18,0.000000e+00,0.000000e+00
2.000000e+05,2.520000e-18,0.000000e+00,0.000000e+00
2.250000e+05,2.390000e-18,0.000000e+00,0.000000e+00
2.500000e+05,2.260000e-18,0.000000e+00,0.000000e+00
3.000000e+05,1.880000e-18,0.000000e+00,0.000000e+00
3.500000e+05,1.740000e-18,0.000000e+00,0.000000e+00
4.000000e+05,1.410000e-18,0.000000e+00,0.000000e+00
4.500000e+05,1.180000e-18,0.000000e+00,0.000000e+00
