He + CO2 --> He2+
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
7.500000e+04,3.580000e-17,0.000000e+00,0.000000e+00
1.000000e+05,5.270000e-17,0.000000e+00,0.000000e+00
1.250000e+05,6.710000e-17,0.000000e+00,0.000000e+00
1.500000e+05,7.100000e-17,0.000000e+00,0.000000e+00
1.750000e+05,7.230000e-17,0.000000e+00,0.000000e+00
2.000000e+05,7.010000e-17,0.000000e+00,0.000000e+00
2.250000e+05,6.770000e-17,0.000000e+00,0.000000e+00
2.500000e+05,6.610000e-17,0.000000e+00,0.000000e+00
3.000000e+05,6.530000e-17,0.000000e+00,0.000000e+00
3.500000e+05,5.950000e-17,0.000000e+00,0.000000e+00
4.000000e+05,5.270000e-17,0.000000e+00,0.000000e+00
4.500000e+05,4.800000e-17,0.000000e+00,0.000000e+00
