He+ + CO2 --> He2+
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
7.500000e+04,9.720000e-17,0.000000e+00,0.000000e+00
1.000000e+05,1.280000e-16,0.000000e+00,0.000000e+00
1.250000e+05,1.670000e-16,0.000000e+00,0.000000e+00
1.500000e+05,1.950000e-16,0.000000e+00,0.000000e+00
1.750000e+05,2.110000e-16,0.000000e+00,0.000000e+00
2.000000e+05,2.190000e-16,0.000000e+00,0.000000e+00
2.250000e+05,2.260000e-16,0.000000e+00,0.000000e+00
2.500000e+05,2.210000e-16,0.000000e+00,0.000000e+00
3.000000e+05,2.230000e-16,0.000000e+00,0.000000e+00
3.500000e+05,2.120000e-16,0.000000e+00,0.000000e+00
4.000000e+05,2.080000e-16,0.000000e+00,0.000000e+00
4.500000e+05,2.120000e-16,0.000000e+00,0.000000e+00
