N+ (1D) + CO --> N+CO+
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
2.670000e+00,3.970000e-16,0.000000e+00,0.000000e+00
4.100000e+00,3.670000e-16,0.000000e+00,0.000000e+00
5.080000e+00,3.610000e-16,0.000000e+00,0.000000e+00
6.180000e+00,3.650000e-16,0.000000e+00,0.000000e+00
7.130000e+00,3.790000e-16,0.000000e+00,0.000000e+00
8.080000e+00,3.840000e-16,0.000000e+00,0.000000e+00
1.000000e+01,3.830000e-16,0.000000e+00,0.000000e+00
1.217000e+01,3.850000e-16,0.000000e+00,0.000000e+00
1.508000e+01,3.990000e-16,0.000000e+00,0.000000e+00
1.771000e+01,4.280000e-16,0.000000e+00,0.000000e+00
2.007000e+01,4.250000e-16,0.000000e+00,0.000000e+00
2.442000e+01,4.130000e-16,0.000000e+00,0.000000e+00
2.919000e+01,4.550000e-16,0.000000e+00,0.000000e+00
3.954000e+01,4.290000e-16,0.000000e+00,0.000000e+00
4.898000e+01,4.160000e-16,0.000000e+00,0.000000e+00
5.855000e+01,4.030000e-16,0.000000e+00,0.000000e+00
6.754000e+01,4.240000e-16,0.000000e+00,0.000000e+00
7.653000e+01,3.810000e-16,0.000000e+00,0.000000e+00
9.651000e+01,3.930000e-16,0.000000e+00,0.000000e+00
1.133300e+02,3.770000e-16,0.000000e+00,0.000000e+00
1.429200e+02,3.770000e-16,0.000000e+00,0.000000e+00
1.708500e+02,3.610000e-16,0.000000e+00,0.000000e+00
1.935800e+02,3.560000e-16,0.000000e+00,0.000000e+00
2.079100e+02,3.630000e-16,0.000000e+00,0.000000e+00
2.398200e+02,3.410000e-16,0.000000e+00,0.000000e+00
2.866800e+02,3.090000e-16,0.000000e+00,0.000000e+00
3.366300e+02,3.030000e-16,0.000000e+00,0.000000e+00
3.814300e+02,2.930000e-16,0.000000e+00,0.000000e+00
4.399700e+02,2.840000e-16,0.000000e+00,0.000000e+00
4.810400e+02,3.030000e-16,0.000000e+00,0.000000e+00
