N+ (1D) + N2 --> N
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
6.000000e+02,4.460000e-16,0.000000e+00,0.000000e+00
8.000000e+02,5.320000e-16,0.000000e+00,0.000000e+00
1.000000e+03,5.700000e-16,0.000000e+00,0.000000e+00
1.200000e+03,7.000000e-16,0.000000e+00,0.000000e+00
1.400000e+03,8.340000e-16,0.000000e+00,0.000000e+00
1.600000e+03,9.150000e-16,0.000000e+00,0.000000e+00
1.800000e+03,9.350000e-16,0.000000e+00,0.000000e+00
2.000000e+03,9.630000e-16,0.000000e+00,0.000000e+00
2.200000e+03,1.060000e-15,0.000000e+00,0.000000e+00
2.400000e+03,1.110000e-15,0.000000e+00,0.000000e+00
2.600000e+03,1.120000e-15,0.000000e+00,0.000000e+00
2.800000e+03,1.170000e-15,0.000000e+00,0.000000e+00
3.000000e+03,1.180000e-15,0.000000e+00,0.000000e+00
