O+ (2P) + N2 --> NO+
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
2.938571e-01,3.800000e-16,0.000000e+00,0.000000e+00
3.944286e-01,3.430000e-16,0.000000e+00,0.000000e+00
4.965714e-01,3.070000e-16,0.000000e+00,0.000000e+00
5.924286e-01,2.780000e-16,0.000000e+00,0.000000e+00
6.882857e-01,2.640000e-16,0.000000e+00,0.000000e+00
7.872857e-01,2.630000e-16,0.000000e+00,0.000000e+00
9.020000e-01,2.530000e-16,0.000000e+00,0.000000e+00
9.994286e-01,2.470000e-16,0.000000e+00,0.000000e+00
1.980000e+00,2.300000e-16,0.000000e+00,0.000000e+00
2.938571e+00,2.160000e-16,0.000000e+00,0.000000e+00
3.944286e+00,2.070000e-16,0.000000e+00,0.000000e+00
4.965714e+00,2.010000e-16,0.000000e+00,0.000000e+00
6.018571e+00,1.890000e-16,0.000000e+00,0.000000e+00
7.935714e+00,1.670000e-16,0.000000e+00,0.000000e+00
9.915714e+00,1.400000e-16,0.000000e+00,0.000000e+00
1.189571e+01,1.270000e-16,0.000000e+00,0.000000e+00
1.510143e+01,1.030000e-16,0.000000e+00,0.000000e+00
1.995714e+01,6.530000e-17,0.000000e+00,0.000000e+00
2.514286e+01,3.270000e-17,0.000000e+00,0.000000e+00
3.032857e+01,2.450000e-17,0.000000e+00,0.000000e+00
