O+ (4S) + H2O --> OH+
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
3.475556e-01,8.970000e-17,4.480000e-17,5.230000e-17
4.948889e-01,1.120000e-16,0.000000e+00,0.000000e+00
9.916667e-01,1.500000e-16,0.000000e+00,0.000000e+00
1.503556e+00,1.350000e-16,0.000000e+00,0.000000e+00
2.002222e+00,1.270000e-16,0.000000e+00,0.000000e+00
2.474444e+00,1.270000e-16,0.000000e+00,0.000000e+00
3.003333e+00,1.120000e-16,0.000000e+00,0.000000e+00
3.494444e+00,8.240000e-17,0.000000e+00,0.000000e+00
4.004444e+00,7.490000e-17,0.000000e+00,0.000000e+00
4.533333e+00,7.490000e-17,0.000000e+00,0.000000e+00
4.967778e+00,5.990000e-17,0.000000e+00,0.000000e+00
6.025556e+00,3.000000e-17,0.000000e+00,0.000000e+00
8.027778e+00,2.250000e-17,0.000000e+00,0.000000e+00
9.935556e+00,1.500000e-17,0.000000e+00,0.000000e+00
1.522444e+01,5.240000e-17,0.000000e+00,0.000000e+00
2.002222e+01,9.740000e-17,0.000000e+00,0.000000e+00
2.984444e+01,8.990000e-17,0.000000e+00,0.000000e+00
4.023333e+01,5.990000e-17,0.000000e+00,0.000000e+00
5.987778e+01,3.750000e-17,0.000000e+00,0.000000e+00
7.990000e+01,2.250000e-17,0.000000e+00,0.000000e+00
9.973333e+01,4.490000e-17,0.000000e+00,0.000000e+00
