O+ (2D) + H2O --> OH+
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
2.002222e-01,3.360000e-16,0.000000e+00,0.000000e+00
3.003333e-01,4.490000e-16,1.650000e-16,1.570000e-16
4.004444e-01,6.950000e-16,2.920000e-16,2.920000e-16
4.986667e-01,7.250000e-16,1.420000e-16,1.420000e-16
6.006667e-01,6.730000e-16,9.720000e-17,8.220000e-17
6.970000e-01,7.330000e-16,8.970000e-17,8.230000e-17
9.992222e-01,8.000000e-16,0.000000e+00,0.000000e+00
1.309000e+00,7.550000e-16,1.790000e-16,1.720000e-16
1.516778e+00,8.000000e-16,3.730000e-17,4.490000e-17
2.021111e+00,7.550000e-16,0.000000e+00,0.000000e+00
2.304444e+00,7.330000e-16,1.120000e-16,1.270000e-16
2.531111e+00,6.500000e-16,1.420000e-16,1.570000e-16
3.003333e+00,7.030000e-16,0.000000e+00,0.000000e+00
3.305556e+00,6.360000e-16,6.730000e-17,8.230000e-17
3.551111e+00,5.380000e-16,5.230000e-17,5.240000e-17
4.004444e+00,5.680000e-16,7.470000e-17,8.970000e-17
4.325556e+00,5.680000e-16,1.120000e-16,1.120000e-16
6.082222e+00,4.710000e-16,4.480000e-17,5.240000e-17
8.178889e+00,3.960000e-16,6.730000e-17,5.980000e-17
1.012444e+01,2.920000e-16,6.730000e-17,6.730000e-17
1.507333e+01,2.990000e-16,1.120000e-16,1.270000e-16
2.002222e+01,2.990000e-16,7.480000e-17,8.220000e-17
2.512222e+01,2.990000e-16,4.490000e-17,6.730000e-17
3.041111e+01,2.990000e-16,9.720000e-17,1.050000e-16
4.023333e+01,1.940000e-16,0.000000e+00,0.000000e+00
5.081111e+01,1.940000e-16,0.000000e+00,0.000000e+00
