O+ (2D) + H2 --> O
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
6.000000e+02,9.620000e-16,0.000000e+00,0.000000e+00
8.000000e+02,9.730000e-16,0.000000e+00,0.000000e+00
1.000000e+03,9.810000e-16,0.000000e+00,0.000000e+00
1.200000e+03,9.990000e-16,0.000000e+00,0.000000e+00
1.400000e+03,1.030000e-15,0.000000e+00,0.000000e+00
1.600000e+03,1.080000e-15,0.000000e+00,0.000000e+00
1.800000e+03,1.080000e-15,0.000000e+00,0.000000e+00
2.000000e+03,1.060000e-15,0.000000e+00,0.000000e+00
2.200000e+03,1.050000e-15,0.000000e+00,0.000000e+00
2.400000e+03,1.010000e-15,0.000000e+00,0.000000e+00
2.600000e+03,1.000000e-15,0.000000e+00,0.000000e+00
2.800000e+03,9.990000e-16,0.000000e+00,0.000000e+00
3.000000e+03,1.000000e-15,0.000000e+00,0.000000e+00
