O+ (2D) + O2 --> O
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
6.000000e+02,3.140000e-15,0.000000e+00,0.000000e+00
8.000000e+02,3.200000e-15,0.000000e+00,0.000000e+00
1.000000e+03,3.110000e-15,0.000000e+00,0.000000e+00
1.200000e+03,3.050000e-15,0.000000e+00,0.000000e+00
1.400000e+03,2.960000e-15,0.000000e+00,0.000000e+00
1.600000e+03,2.890000e-15,0.000000e+00,0.000000e+00
1.800000e+03,2.850000e-15,0.000000e+00,0.000000e+00
2.000000e+03,2.760000e-15,0.000000e+00,0.000000e+00
2.200000e+03,2.710000e-15,0.000000e+00,0.000000e+00
2.400000e+03,2.680000e-15,0.000000e+00,0.000000e+00
2.600000e+03,2.640000e-15,0.000000e+00,0.000000e+00
2.800000e+03,2.610000e-15,0.000000e+00,0.000000e+00
3.000000e+03,2.620000e-15,0.000000e+00,0.000000e+00
