He + CO2 --> He+ (RC)
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
7.500000e+04,6.210000e-16,0.000000e+00,0.000000e+00
1.000000e+05,6.560000e-16,0.000000e+00,0.000000e+00
1.250000e+05,6.750000e-16,0.000000e+00,0.000000e+00
1.500000e+05,6.670000e-16,0.000000e+00,0.000000e+00
1.750000e+05,6.660000e-16,0.000000e+00,0.000000e+00
2.000000e+05,6.350000e-16,0.000000e+00,0.000000e+00
2.250000e+05,5.830000e-16,0.000000e+00,0.000000e+00
2.500000e+05,5.530000e-16,0.000000e+00,0.000000e+00
3.000000e+05,4.990000e-16,0.000000e+00,0.000000e+00
3.500000e+05,4.750000e-16,0.000000e+00,0.000000e+00
4.000000e+05,4.350000e-16,0.000000e+00,0.000000e+00
4.500000e+05,4.140000e-16,0.000000e+00,0.000000e+00
