He + CH4 --> He+ (RC)
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
7.500000e+04,4.950000e-16,0.000000e+00,0.000000e+00
1.000000e+05,4.770000e-16,0.000000e+00,0.000000e+00
1.250000e+05,4.680000e-16,0.000000e+00,0.000000e+00
1.500000e+05,4.370000e-16,0.000000e+00,0.000000e+00
1.750000e+05,4.400000e-16,0.000000e+00,0.000000e+00
2.000000e+05,3.960000e-16,0.000000e+00,0.000000e+00
2.250000e+05,3.560000e-16,0.000000e+00,0.000000e+00
2.500000e+05,3.360000e-16,0.000000e+00,0.000000e+00
3.000000e+05,3.200000e-16,0.000000e+00,0.000000e+00
3.500000e+05,2.980000e-16,0.000000e+00,0.000000e+00
4.000000e+05,2.730000e-16,0.000000e+00,0.000000e+00
4.500000e+05,2.560000e-16,0.000000e+00,0.000000e+00
