Li (2p) + H --> Li(4p)+H
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
1.000000e+03,5.980000e-30,0.000000e+00,0.000000e+00
2.000000e+03,1.800000e-23,0.000000e+00,0.000000e+00
3.000000e+03,2.240000e-21,0.000000e+00,0.000000e+00
4.000000e+03,2.420000e-20,0.000000e+00,0.000000e+00
5.000000e+03,1.000000e-19,0.000000e+00,0.000000e+00
6.000000e+03,2.580000e-19,0.000000e+00,0.000000e+00
7.000000e+03,5.080000e-19,0.000000e+00,0.000000e+00
8.000000e+03,8.510000e-19,0.000000e+00,0.000000e+00
9.000000e+03,1.280000e-18,0.000000e+00,0.000000e+00
1.000000e+04,1.820000e-18,0.000000e+00,0.000000e+00
