Li (3s) + H --> Li(3p)+H
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
1.000000e+03,1.740000e-11,0.000000e+00,0.000000e+00
2.000000e+03,2.320000e-10,0.000000e+00,0.000000e+00
3.000000e+03,5.090000e-10,0.000000e+00,0.000000e+00
4.000000e+03,7.140000e-10,0.000000e+00,0.000000e+00
5.000000e+03,8.400000e-10,0.000000e+00,0.000000e+00
6.000000e+03,9.090000e-10,0.000000e+00,0.000000e+00
7.000000e+03,9.410000e-10,0.000000e+00,0.000000e+00
8.000000e+03,9.500000e-10,0.000000e+00,0.000000e+00
9.000000e+03,9.460000e-10,0.000000e+00,0.000000e+00
1.000000e+04,9.330000e-10,0.000000e+00,0.000000e+00
