Li+ (3p) + H- --> Li++H-
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
1.000000e+03,5.350000e-13,0.000000e+00,0.000000e+00
2.000000e+03,4.220000e-11,0.000000e+00,0.000000e+00
3.000000e+03,1.750000e-10,0.000000e+00,0.000000e+00
4.000000e+03,3.560000e-10,0.000000e+00,0.000000e+00
5.000000e+03,5.390000e-10,0.000000e+00,0.000000e+00
6.000000e+03,7.040000e-10,0.000000e+00,0.000000e+00
7.000000e+03,8.450000e-10,0.000000e+00,0.000000e+00
8.000000e+03,9.630000e-10,0.000000e+00,0.000000e+00
9.000000e+03,1.060000e-09,0.000000e+00,0.000000e+00
1.000000e+04,1.140000e-09,0.000000e+00,0.000000e+00
