Li (4s) + H --> Li(2s)+H
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
1.000000e+03,3.440000e-20,0.000000e+00,0.000000e+00
2.000000e+03,1.420000e-20,0.000000e+00,0.000000e+00
3.000000e+03,8.960000e-21,0.000000e+00,0.000000e+00
4.000000e+03,9.270000e-21,0.000000e+00,0.000000e+00
5.000000e+03,1.090000e-20,0.000000e+00,0.000000e+00
6.000000e+03,1.220000e-20,0.000000e+00,0.000000e+00
7.000000e+03,1.340000e-20,0.000000e+00,0.000000e+00
8.000000e+03,1.450000e-20,0.000000e+00,0.000000e+00
9.000000e+03,1.580000e-20,0.000000e+00,0.000000e+00
1.000000e+04,1.720000e-20,0.000000e+00,0.000000e+00
