Li+ (4s) + H- --> Li++H-
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
1.000000e+03,4.880000e-12,0.000000e+00,0.000000e+00
2.000000e+03,1.710000e-11,0.000000e+00,0.000000e+00
3.000000e+03,2.410000e-11,0.000000e+00,0.000000e+00
4.000000e+03,2.840000e-11,0.000000e+00,0.000000e+00
5.000000e+03,3.100000e-11,0.000000e+00,0.000000e+00
6.000000e+03,3.250000e-11,0.000000e+00,0.000000e+00
7.000000e+03,3.320000e-11,0.000000e+00,0.000000e+00
8.000000e+03,3.330000e-11,0.000000e+00,0.000000e+00
9.000000e+03,3.310000e-11,0.000000e+00,0.000000e+00
1.000000e+04,3.260000e-11,0.000000e+00,0.000000e+00
