Li (4p) + H --> Li(4s)+H
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
1.000000e+03,2.120000e-11,0.000000e+00,0.000000e+00
2.000000e+03,2.180000e-11,0.000000e+00,0.000000e+00
3.000000e+03,2.460000e-11,0.000000e+00,0.000000e+00
4.000000e+03,2.770000e-11,0.000000e+00,0.000000e+00
5.000000e+03,3.040000e-11,0.000000e+00,0.000000e+00
6.000000e+03,3.290000e-11,0.000000e+00,0.000000e+00
7.000000e+03,3.520000e-11,0.000000e+00,0.000000e+00
8.000000e+03,3.750000e-11,0.000000e+00,0.000000e+00
9.000000e+03,3.990000e-11,0.000000e+00,0.000000e+00
1.000000e+04,4.240000e-11,0.000000e+00,0.000000e+00
