Li+ + H- --> Li(3s)+H
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
1.000000e+03,1.600000e-07,0.000000e+00,0.000000e+00
2.000000e+03,1.210000e-07,0.000000e+00,0.000000e+00
3.000000e+03,1.080000e-07,0.000000e+00,0.000000e+00
4.000000e+03,1.020000e-07,0.000000e+00,0.000000e+00
5.000000e+03,9.800000e-08,0.000000e+00,0.000000e+00
6.000000e+03,9.470000e-08,0.000000e+00,0.000000e+00
7.000000e+03,9.180000e-08,0.000000e+00,0.000000e+00
8.000000e+03,8.920000e-08,0.000000e+00,0.000000e+00
9.000000e+03,8.690000e-08,0.000000e+00,0.000000e+00
1.000000e+04,8.490000e-08,0.000000e+00,0.000000e+00
