Li+ + H- --> Li(3p)+H
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
1.000000e+03,7.190000e-08,0.000000e+00,0.000000e+00
2.000000e+03,5.360000e-08,0.000000e+00,0.000000e+00
3.000000e+03,4.700000e-08,0.000000e+00,0.000000e+00
4.000000e+03,4.390000e-08,0.000000e+00,0.000000e+00
5.000000e+03,4.180000e-08,0.000000e+00,0.000000e+00
6.000000e+03,4.000000e-08,0.000000e+00,0.000000e+00
7.000000e+03,3.840000e-08,0.000000e+00,0.000000e+00
8.000000e+03,3.710000e-08,0.000000e+00,0.000000e+00
9.000000e+03,3.590000e-08,0.000000e+00,0.000000e+00
1.000000e+04,3.480000e-08,0.000000e+00,0.000000e+00
